City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Rexburg,43.826,-111.7897,25.86,80,100,5.75,US,2022-01-20 19:18:34
136,San Rafael,-34.6177,-68.3301,86.31,28,6,7.4,AR,2022-01-20 19:20:37
137,Te Anau,-45.4167,167.7167,51.8,88,100,0.81,NZ,2022-01-20 19:22:23
138,Abha,18.2164,42.5053,51.62,93,0,6.91,SA,2022-01-20 19:22:23
139,Takoradi,4.8845,-1.7554,80.78,68,17,5.35,GH,2022-01-20 19:22:23
140,Opuwo,-18.0607,13.84,70.95,49,100,8.93,NA,2022-01-20 19:21:20
141,Chuy,-33.6971,-53.4616,82.31,74,36,13.4,UY,2022-01-20 19:22:24
142,Ulaangom,49.9811,92.0667,-3.8,99,100,0.89,MN,2022-01-20 19:22:24
143,Kerema,-7.9631,145.7785,75.83,88,100,3.6,PG,2022-01-20 19:22:24
144,Kamenka,51.3223,42.7678,2.71,99,90,8.99,RU,2022-01-20 19:22:24
145,Kenai,60.5544,-151.2583,25.14,93,100,5.75,US,2022-01-20 19:22:25
146,Egvekinot,66.3167,-179.1667,-14.06,68,0,13.85,RU,2022-01-20 19:22:25
147,Wakiso,0.4044,32.4594,65.34,78,99,1.52,UG,2022-01-20 19:22:02
148,San Quintin,30.4833,-115.95,65.39,56,0,4.65,MX,2022-01-20 19:22:25
149,Safranbolu,41.2508,32.6942,19.04,91,5,1.54,TR,2022-01-20 19:22:25
150,Saint Anthony,45.0205,-93.218,3.78,62,0,1.99,US,2022-01-20 19:22:26
151,Qaanaaq,77.484,-69.3632,7.66,64,100,6.06,GL,2022-01-20 19:22:26
152,New Norfolk,-42.7826,147.0587,54.91,70,72,2.75,AU,2022-01-20 19:22:26
153,Ossora,59.2353,163.0719,1.44,90,92,7.67,RU,2022-01-20 19:22:26
154,Jamalpur,24.9167,89.9333,61.97,59,4,3.78,BD,2022-01-20 19:22:27
155,Lorengau,-2.0226,147.2712,81.21,77,100,9.84,PG,2022-01-20 19:22:27
156,Saint-Pierre,-21.3393,55.4781,80.24,88,0,4.61,RE,2022-01-20 19:22:27
157,Bathsheba,13.2167,-59.5167,83.01,65,40,24.16,BB,2022-01-20 19:15:05
158,Hobyo,5.3505,48.5268,77.88,73,76,17.09,SO,2022-01-20 19:22:27
159,Tasiilaq,65.6145,-37.6368,30.36,97,100,23.58,GL,2022-01-20 19:15:51
160,Erenhot,43.6475,111.9767,12.15,78,9,7.31,CN,2022-01-20 19:22:28
161,Khani,41.9563,42.9566,24.37,98,100,3.33,GE,2022-01-20 19:22:28
162,Makasar,-5.14,119.4221,73.45,100,40,4.61,ID,2022-01-20 19:22:28
163,Beira,-19.8436,34.8389,82.49,61,75,12.66,MZ,2022-01-20 19:22:28
164,Verkhnyaya Inta,65.9811,60.3094,20.07,81,100,16.6,RU,2022-01-20 19:22:29
165,Baneh,35.9975,45.8853,7.61,99,100,2.62,IR,2022-01-20 19:22:29
166,Sorsk,54.0033,90.2467,-3.15,100,37,3.56,RU,2022-01-20 19:22:29
167,Waddan,29.1614,16.139,54.12,53,54,6.42,LY,2022-01-20 19:22:29
168,Karratha,-20.7377,116.8463,84.43,66,5,12.59,AU,2022-01-20 19:22:30
169,Nome,64.5011,-165.4064,3.27,78,100,3.44,US,2022-01-20 19:22:30
170,Gornopravdinsk,60.05,69.9,14.72,94,100,7.81,RU,2022-01-20 19:22:30
171,Okhotsk,59.3833,143.3,-12.62,75,68,8.01,RU,2022-01-20 19:22:31
172,Araouane,18.9048,-3.5265,68.85,16,16,9.55,ML,2022-01-20 19:21:10
173,Tatarsk,55.219,75.9828,-4.0,100,66,5.48,RU,2022-01-20 19:22:31
174,Miquelon,47.0975,-56.3814,39.2,97,100,18.5,PM,2022-01-20 19:22:31
175,Abadan,30.3392,48.3043,48.15,46,0,13.8,IR,2022-01-20 19:22:31
176,Ilulissat,69.2167,-51.1,21.22,86,100,1.14,GL,2022-01-20 19:14:42
177,Winslow,35.0242,-110.6974,44.29,53,0,1.01,US,2022-01-20 19:22:32
178,Markala,13.7021,-6.0659,77.59,13,0,8.63,ML,2022-01-20 19:22:32
179,Mazatlan,23.2167,-106.4167,78.76,82,100,3.0,MX,2022-01-20 19:22:32
180,Salou,41.0766,1.1416,51.17,63,0,2.3,ES,2022-01-20 19:22:32
181,Nanortalik,60.1432,-45.2371,28.81,85,100,20.87,GL,2022-01-20 19:22:33
182,Mugur-Aksy,50.35,90.5,-1.53,98,58,7.09,RU,2022-01-20 19:23:33
183,Cidreira,-30.1811,-50.2056,81.39,79,3,11.9,BR,2022-01-20 19:23:33
184,Kavieng,-2.5744,150.7967,80.71,77,100,11.52,PG,2022-01-20 19:23:34
185,Ribeira Grande,38.5167,-28.7,64.8,82,20,11.5,PT,2022-01-20 19:15:52
186,Forest Grove,45.5198,-123.1107,56.08,85,100,1.99,US,2022-01-20 19:23:34
187,San Patricio,28.017,-97.5169,44.69,48,100,20.02,US,2022-01-20 19:23:34
188,Adana,36.985,35.2881,37.42,65,0,4.61,TR,2022-01-20 19:18:44
189,Poroshkovo,48.6683,22.7533,23.34,89,93,5.46,UA,2022-01-20 19:23:34
190,Yima,34.7381,111.8839,23.59,91,100,7.85,CN,2022-01-20 19:19:34
191,Scottsbluff,41.8666,-103.6672,30.63,72,0,0.0,US,2022-01-20 19:20:02
192,Galesburg,40.9478,-90.3712,14.02,66,0,3.0,US,2022-01-20 19:23:35
193,Port Angeles,48.1181,-123.4307,52.95,81,0,27.63,US,2022-01-20 19:23:35
194,Tadine,-21.55,167.8833,78.3,87,100,10.8,NC,2022-01-20 19:23:35
195,Kaeo,-35.1,173.7833,63.32,77,89,4.76,NZ,2022-01-20 19:23:36
196,Tawang,27.5833,91.8667,24.28,91,95,4.59,IN,2022-01-20 19:23:36
197,Lasa,46.6166,10.7002,39.11,95,54,8.95,IT,2022-01-20 19:20:10
198,Lazaro Cardenas,17.9583,-102.2,83.1,51,13,8.46,MX,2022-01-20 19:23:36
199,Acarau,-2.8856,-40.12,84.22,66,99,15.37,BR,2022-01-20 19:23:37
200,Angoche,-16.2325,39.9086,76.78,83,55,9.01,MZ,2022-01-20 19:23:37
201,Ketchikan,55.3422,-131.6461,40.73,97,100,4.45,US,2022-01-20 19:15:47
202,Mae Hong Son,19.3003,97.9685,62.76,80,61,1.14,TH,2022-01-20 19:23:37
203,Kinablangan,7.6947,126.5503,77.23,81,100,4.21,PH,2022-01-20 19:23:38
204,Buala,-8.145,159.5921,78.94,85,95,10.42,SB,2022-01-20 19:23:38
205,Pyapon,16.2833,95.6833,69.66,88,88,6.46,MM,2022-01-20 19:23:38
206,Luderitz,-26.6481,15.1594,72.61,65,19,14.56,NA,2022-01-20 19:23:38
207,Lata,40.1629,-8.3327,51.06,76,0,3.44,PT,2022-01-20 19:23:39
208,Hambantota,6.1241,81.1185,74.19,77,18,7.09,LK,2022-01-20 19:23:39
209,Robertsport,6.7533,-11.3686,81.41,77,100,10.2,LR,2022-01-20 19:23:39
210,Ostersund,63.1792,14.6357,25.61,74,20,20.71,SE,2022-01-20 19:23:39
211,Roma,43.2128,-75.4557,18.52,55,0,1.99,US,2022-01-20 19:21:20
212,Hithadhoo,-0.6,73.0833,82.22,73,100,6.87,MV,2022-01-20 19:23:40
213,Buluang,13.3068,123.3425,72.0,94,79,3.2,PH,2022-01-20 19:23:40
214,Avarua,-21.2078,-159.775,78.85,94,100,10.36,CK,2022-01-20 19:23:40
215,Cap Malheureux,-19.9842,57.6142,81.09,86,86,3.0,MU,2022-01-20 19:15:45
216,Provideniya,64.3833,-173.3,-11.94,81,19,6.26,RU,2022-01-20 19:23:40
217,Lesosibirsk,58.2358,92.4828,7.63,99,90,2.3,RU,2022-01-20 19:23:41
218,Georgetown,5.4112,100.3354,81.9,87,20,2.3,MY,2022-01-20 19:23:41
219,Pochutla,15.7432,-96.4661,87.82,46,0,9.57,MX,2022-01-20 19:23:41
220,Newport,51.5877,-2.9984,38.77,74,42,7.2,GB,2022-01-20 19:23:41
221,Morant Bay,17.8815,-76.4093,85.62,69,10,15.59,JM,2022-01-20 19:23:42
222,Shimoda,34.6667,138.95,40.03,80,98,7.45,JP,2022-01-20 19:22:32
223,Gat,31.61,34.7642,48.88,100,100,4.14,IL,2022-01-20 19:23:42
