City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Kampong Chhnang,KH,74.43,broken clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
600,Daru,PG,75.63,light rain,-9.0763,143.2092,Daru Lodge
602,Lucea,JM,73.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
606,Kalmunai,LK,76.77,scattered clouds,7.4167,81.8167,VS Villa
609,Beloha,MG,73.02,overcast clouds,-25.1667,45.05,
610,Roebourne,AU,84.7,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
613,Antofagasta,CL,73.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
614,Pires Do Rio,BR,72.0,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
617,Buala,SB,80.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
618,Manggar,ID,78.01,overcast clouds,-2.8833,108.2667,Guest Hotel
620,Cam Ranh,VN,73.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
624,Batie,BF,80.28,few clouds,9.8833,-2.9167,Auberge SONDAR AFACI
625,Keti Bandar,PK,71.31,clear sky,24.1447,67.4497,Haji laloo memon house
632,Tari,NG,72.39,broken clouds,12.4086,4.4914,
639,Pangkalanbuun,ID,74.79,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
641,Araouane,ML,74.48,scattered clouds,18.9048,-3.5265,
643,Antalaha,MG,75.85,few clouds,-14.9003,50.2788,Hotel Vitasoa
646,Praya,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
650,Ewa Beach,US,79.09,clear sky,21.3156,-158.0072,Uncle Junior Robert
656,Marovoay,MG,82.54,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
661,Viedma,AR,70.29,broken clouds,-40.8135,-62.9967,Hotel Cristal
664,Fortuna Foothills,US,72.21,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
667,Gorontalo,ID,73.65,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
668,Banda Aceh,ID,76.53,broken clouds,5.5577,95.3222,Sulthan Hotel International
671,Kipini,KE,79.09,broken clouds,-2.5257,40.5262,Delta Sea Mall
674,Dhidhdhoo,MV,81.39,scattered clouds,6.8833,73.1,Dhidhoo beach
679,Tessalit,ML,71.15,few clouds,20.1986,1.0114,
689,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
692,Necochea,AR,72.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
696,Acarau,BR,77.31,overcast clouds,-2.8856,-40.12,castelo pizzaria
702,Kavaratti,IN,81.28,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
704,Gizo,SB,82.96,light rain,-8.103,156.8419,Imagination Island
707,Mbandaka,CD,77.9,overcast clouds,0.0487,18.2603,Guest House Epervier
708,Imbituba,BR,75.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
