City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
98,Avarua,-21.2078,-159.775,78.85,89,75,9.22,moderate rain,CK,2022-01-30 18:35:06
99,Male,4.1748,73.5089,82.35,78,40,9.22,scattered clouds,MV,2022-01-30 18:39:38
100,Yar-Sale,66.8333,70.8333,-0.54,95,100,7.54,overcast clouds,RU,2022-01-30 18:39:38
101,Fortuna,40.5982,-124.1573,51.66,94,100,9.22,overcast clouds,US,2022-01-30 18:39:29
102,Monroe,43.1501,-77.6831,24.58,52,91,4.0,light snow,US,2022-01-30 18:39:39
103,Sohag,26.557,31.6948,57.49,41,72,6.6,broken clouds,EG,2022-01-30 18:38:05
104,Valparaiso,-33.0393,-71.6273,69.44,67,20,12.66,few clouds,CL,2022-01-30 18:39:39
105,Ust-Kut,56.7938,105.7672,1.6,99,100,2.17,overcast clouds,RU,2022-01-30 18:39:39
106,Asau,46.4333,26.4,39.4,67,97,20.45,overcast clouds,RO,2022-01-30 18:39:40
107,Saint-Pierre,-21.3393,55.4781,80.28,78,5,16.11,clear sky,RE,2022-01-30 18:39:40
108,Parry Sound,45.3501,-80.033,20.21,63,100,3.15,overcast clouds,CA,2022-01-30 18:36:29
109,Dikson,73.5069,80.5464,-2.52,93,100,21.36,overcast clouds,RU,2022-01-30 18:39:40
110,Lithakia,37.7167,20.8333,48.58,81,0,5.75,clear sky,GR,2022-01-30 18:39:41
111,Henties Bay,-22.116,14.2845,66.85,80,100,4.94,overcast clouds,NA,2022-01-30 18:39:41
112,Ukiah,39.1502,-123.2078,61.38,44,9,2.86,clear sky,US,2022-01-30 18:39:41
113,Nipawin,53.3668,-104.0009,17.64,93,100,10.36,overcast clouds,CA,2022-01-30 18:39:41
114,Kerema,-7.9631,145.7785,75.58,86,100,1.59,light rain,PG,2022-01-30 18:39:42
115,Salalah,17.0151,54.0924,75.29,69,0,3.44,clear sky,OM,2022-01-30 18:39:42
116,Bluff,-46.6,168.3333,58.8,91,100,3.91,overcast clouds,NZ,2022-01-30 18:39:30
117,Fraserburgh,57.6874,-2.0184,40.08,82,100,28.92,overcast clouds,GB,2022-01-30 18:39:42
